Comp_1,IR_0_1,IR_120_1,IR_240_1,Comp_2,IR_0_2,IR_120_2,IR_240_2,Comp_Diff,Distance,Degrees
7,200,8,29,0,28,30,71,173,5,0
3,44,8,28,31,30,170,24,208,5,0
3,173,8,33,62,19,207,9,239,5,0
5,140,8,19,92,4,162,37,267,5,0
3,198,6,21,126,34,79,34,303,5,0
2,33,7,17,159,169,22,31,337,5,0
7,153,8,20,186,199,11,27,359,5,0
358,211,9,28,216,168,35,6,38,5,0
1,203,8,29,248,50,31,63,67,5,0
3,104,8,17,276,23,30,204,93,5,0
3,227,8,26,303,9,25,230,120,5,0
4,222,8,31,331,28,7,168,147,5,0
3,217,8,30,6,31,39,65,183,5,0
7,149,11,36,33,6,21,38,206,5,30
355,163,10,35,69,22,175,18,254,5,30
2,151,8,36,88,23,43,10,266,5,30
0,1,2,2,156,24,39,8,336,5,30
358,147,8,18,187,165,18,17,9,5,30
0,93,9,27,213,40,6,19,33,5,30
359,140,10,28,241,138,23,3,62,5,30
354,179,8,35,270,33,7,29,96,5,30
357,121,11,13,300,15,13,179,123,5,30
1,156,15,45,329,6,17,63,148,5,30
5,119,13,40,355,20,4,171,170,5,30
358,132,27,8,338,25,45,36,160,5,-30
359,151,23,8,7,31,170,18,188,5,-30
358,132,22,8,36,20,217,8,218,5,-30
5,103,18,6,95,50,44,33,270,5,-30
6,2,2,4,130,162,19,30,304,5,-30
4,135,21,5,166,173,9,28,342,5,-30
3,121,21,7,155,159,8,26,332,5,-30
1,92,25,8,215,36,29,65,34,5,-30
1,116,19,7,246,15,27,178,65,5,-30
0,79,27,6,273,7,19,188,93,5,-30
359,3,2,5,308,23,7,128,129,5,-30
357,3,2,6,1,13,8,12,184,7,0
12,17,4,11,30,10,22,11,198,7,0
0,65,4,10,63,6,52,5,243,7,0
14,3,3,6,98,3,35,11,264,7,0
12,42,3,8,122,8,12,8,290,7,0
358,10,5,8,153,22,8,8,335,7,0
0,40,4,9,187,56,5,3,7,7,0
4,42,4,9,219,33,7,6,35,7,0
2,56,5,13,258,12,5,6,76,7,0
3,14,4,8,279,8,10,31,96,7,0
4,17,6,10,289,5,9,71,105,7,0
2,33,5,12,333,9,3,34,151,7,0
3,30,5,9,24,3,4,4,201,7,30
9,2,2,4,64,3,7,7,235,7,30
3,16,5,8,94,5,7,5,271,7,30
1,23,4,8,128,3,18,7,307,7,30
1,22,4,7,145,5,6,7,324,7,30
4,17,5,5,179,12,4,4,355,7,30
3,28,5,7,212,10,1,2,29,7,30
2,23,6,8,243,15,2,2,61,7,30
2,23,5,8,246,15,3,2,64,7,30
2,21,5,8,274,8,2,3,92,7,30
2,8,5,4,302,6,5,11,120,7,30
7,19,6,10,330,4,6,7,143,7,30
3,34,6,11,358,8,2,17,175,7,30
4,20,9,5,330,13,11,5,146,7,-30
4,19,8,5,358,9,31,4,174,7,-30
4,16,8,4,31,7,52,2,207,7,-30
2,18,8,5,63,2,27,11,241,7,-30
3,21,6,4,125,37,7,8,302,7,-30
3,22,9,5,156,49,5,6,333,7,-30
3,16,8,5,185,21,7,2,2,7,-30
358,12,9,5,218,9,10,13,40,7,-30
4,18,8,5,245,6,8,47,61,7,-30
5,30,9,5,274,4,9,64,89,7,-30
6,26,11,6,300,10,5,21,114,7,-30
359,17,6,5,97,10,7,8,278,7,-30
2,146,6,18,357,22,14,20,175,6,0
0,28,4,16,31,18,86,11,211,6,0
7,105,2,11,61,7,132,6,234,6,0
6,98,4,12,123,13,21,18,297,6,0
3,18,5,12,150,89,12,17,327,6,0
1,124,5,13,185,120,6,8,4,6,0
1,140,5,14,217,77,18,3,36,6,0
4,140,6,16,245,22,22,16,61,6,0
3,41,5,10,278,10,14,110,95,6,0
3,117,5,13,300,5,11,128,117,6,0
3,112,6,18,329,16,5,87,146,6,0
4,87,6,18,31,5,10,12,207,6,30
4,82,6,13,62,6,73,10,238,6,30
3,109,6,16,93,6,33,5,270,6,30
3,90,5,15,151,9,12,6,328,6,30
0,78,5,12,123,3,54,16,303,6,30
0,77,4,14,154,8,9,7,334,6,30
2,77,9,9,180,68,10,7,358,6,30
3,44,6,14,212,28,4,6,29,6,30
4,54,6,13,246,59,10,6,62,6,30
3,86,4,18,276,13,6,10,93,6,30
6,32,8,7,302,9,8,95,116,6,30
3,47,8,20,325,5,9,31,142,6,30
359,52,9,21,331,4,7,42,152,6,30
0,47,7,17,358,14,5,69,178,6,30
5,49,15,5,332,20,24,13,147,6,-30
1,62,11,4,354,15,78,8,173,6,-30
2,78,11,4,29,10,127,5,207,6,-30
1,65,12,4,95,20,14,19,274,6,-30
4,44,9,4,125,83,10,18,301,6,-30
2,71,13,4,153,122,6,12,331,6,-30
1,82,16,5,183,97,14,4,2,6,-30
5,44,17,5,215,15,19,34,30,6,-30
3,35,13,5,251,10,16,113,68,6,-30
0,46,18,5,275,5,14,107,95,6,-30
2,51,16,5,278,6,17,133,96,6,-30
2,78,17,5,303,16,6,79,121,6,-30
